iter	Passed	Remaining
0	121	36239
1	226	33820
2	341	33838
3	455	33715
4	566	33395
5	684	33561
6	807	33796
7	915	33424
8	1031	33364
9	1138	33028
10	1253	32942
11	1365	32773
12	1485	32790
13	1591	32522
14	1708	32458
15	1823	32372
16	1955	32556
17	2090	32745
18	2223	32891
19	2352	32933
20	2534	33675
21	2668	33723
22	2812	33866
23	2929	33692
24	3047	33522
25	3165	33362
26	3276	33125
27	3392	32955
28	3508	32789
29	3621	32591
30	3737	32427
31	3851	32257
32	3957	32020
33	4068	31832
34	4177	31626
35	4282	31408
36	4404	31304
37	4520	31170
38	4630	30987
39	4745	30846
40	4859	30694
41	4973	30554
42	5094	30446
43	5223	30389
44	5345	30292
45	5462	30162
46	5581	30045
47	5697	29912
48	5816	29795
49	5942	29710
50	6064	29607
51	6189	29518
52	6307	29393
53	6431	29299
54	6554	29198
